concept,pred_count,pred_pct,avg_confidence,n_countries,most_common_parent
Amazonas 8B,2,0.06357279084551812,0.08604695275425911,2,landscape_hills_tropical
Road X-753,2,0.06357279084551812,0.09934168681502342,2,landscape_mountains
Patagonia National Park,2,0.06357279084551812,0.10830840840935707,2,landscape_hills_temperate
Cajamarca Jaen Offroads,2,0.06357279084551812,0.04138308763504028,2,landscape_hills_tropical
Huanuco 14A,2,0.06357279084551812,0.09478001296520233,1,landscape_hills_tropical
RN40 in Catamarca,2,0.06357279084551812,0.07736919820308685,2,car_meta
RP51,2,0.06357279084551812,0.12492791935801506,1,car_meta
La Serena Historic Center,2,0.06357279084551812,0.06582213193178177,2,infrastructure_industrial
Piura SW Landscape,2,0.06357279084551812,0.22634673118591309,1,landscape_flatland_arid
East on Ruta 60,2,0.06357279084551812,0.0700604822486639,1,road_divided
Bin with orange lid,2,0.06357279084551812,0.06246070936322212,2,Chilo Island
Agriculture - Corn,2,0.06357279084551812,0.10267011448740959,2,vegetation_corn
Piped signs,2,0.06357279084551812,0.05044811964035034,2,road_coastal
Nusa pole,2,0.06357279084551812,0.06936298124492168,2,landscape_hills_tropical
Vegetation - Hazelnuts,2,0.06357279084551812,0.03191397059708834,1,Park Prirode _umberak
September | No Car (No Antenna),2,0.06357279084551812,0.04455754719674587,2,camera_meta
Yellow license plates,2,0.06357279084551812,0.049688614904880524,1,Paran Pines
Bulkier antenna tip,2,0.06357279084551812,0.045895569026470184,2,Park Prirode _umberak
Netherlands,2,0.06357279084551812,0.15739213675260544,1,phone_code
"Cobbled Road, Ruta 23, Section SE of Cochabamba",2,0.06357279084551812,0.07656266167759895,1,landscape_hills
Vegetation - Tocantins Grass,2,0.06357279084551812,0.11100390180945396,1,Piau road
Bahia and Pernambuco pole markings,2,0.06357279084551812,0.14714429527521133,1,Cear lamps
Cear lamps,2,0.06357279084551812,0.16233278810977936,1,Cear lamps
Asymmetric mushroom-like insulator pole,2,0.06357279084551812,0.08494443818926811,2,pole_shape
Blindingly white soil,2,0.06357279084551812,0.08462422341108322,1,landscape_soil
Southwest wineyards,2,0.06357279084551812,0.1953168585896492,1,vegetation_vineyard
"Lithuania, Poland Shared Latin Letters",2,0.06357279084551812,0.09922044724225998,1,script_latin
Long Black B-Type,2,0.06357279084551812,0.06876503676176071,1,camera_meta
Small alternating hooks,2,0.06357279084551812,0.10366732627153397,1,landscape_hills_temperate
Balkan Mountain trekker,2,0.06357279084551812,0.04439475014805794,2,Park Prirode _umberak
Plovdiv street signs,2,0.06357279084551812,0.10500865429639816,1,landscape_sign
Ancash 1N Landscape,2,0.06357279084551812,0.09426433965563774,1,landscape_desert
The Carpathian Mountains,2,0.06357279084551812,0.06806246191263199,2,landscape_hills_temperate
Stop signs,2,0.06357279084551812,0.05353253148496151,1,bollard_design
Rock Walls,2,0.06357279084551812,0.04519241489470005,1,building_facade
Arequipa Camana/Punta de Bombon,2,0.06357279084551812,0.06951450183987617,1,landscape_farm
Cali three stripes,2,0.06357279084551812,0.11504139378666878,1,infrastructure_industrial
Rice,2,0.06357279084551812,0.07899041101336479,2,vegetation_corn
North Munich hop fields,2,0.06357279084551812,0.07577284798026085,1,Baden-Wrttemberg
Arch Roofs,2,0.06357279084551812,0.08225369080901146,1,building_facade
Quebec stop sign.,2,0.06357279084551812,0.05441982112824917,1,Qubec French speed limit signs
Drink Market Fristo,2,0.06357279084551812,0.06951969861984253,2,landscape_plain_temperate
Barolo Wine Region,2,0.06357279084551812,0.046469428576529026,2,script_latin
Hills,2,0.06357279084551812,0.06373810209333897,2,car_type
Red hydrant with yellow marker,2,0.06357279084551812,0.16387396305799484,1,hydrant
Mainz Street Sign,2,0.06357279084551812,0.08302864618599415,2,road_sign
White Black Gen 4 Car,2,0.06357279084551812,0.11517024971544743,2,bin
Very Flat/Mountainous,2,0.06357279084551812,0.05298094265162945,2,landscape_glacier
Directional Signs,2,0.06357279084551812,0.04390179179608822,1,road_sign
June/July | No Car (Antenna),2,0.06357279084551812,0.057138100266456604,2,camera_meta
Salta,2,0.06357279084551812,0.2302304282784462,2,landscape_ridge_arid
Y-150 and Y-156 in Torres del Paine,2,0.06357279084551812,0.08254667185246944,2,landscape_alpine
South Africa,2,0.06357279084551812,0.09791788458824158,1,phone_code
Infrastructure - Roraima Lamps,2,0.06357279084551812,0.08763233199715614,2,Cear lamps
Road W-887,2,0.06357279084551812,0.12102948501706123,1,road_gravel
B-Type Guardrails,2,0.06357279084551812,0.09663870558142662,2,bollard_shape
License plates,2,0.06357279084551812,0.06945422105491161,2,infrastructure_lamps
Frontier-style architecture,2,0.06357279084551812,0.069354347884655,1,building_facade
A33 Lush Landscape,2,0.06357279084551812,0.05947753228247166,1,landscape_savannah
Lake Mburo - Black Soil,2,0.06357279084551812,0.05039774626493454,1,landscape_soil
April | No Car (No Antenna),2,0.06357279084551812,0.06601124443113804,2,Park Prirode _umberak
Peru Smallcam,2,0.06357279084551812,0.0384617205709219,2,landscape_hills_tropical
RP47,2,0.06357279084551812,0.07724229246377945,2,landscape_hills_arid
"Ruta 5, Sucre To Aiquile",2,0.06357279084551812,0.17120236158370972,1,road_cobbled
Unique street sign,2,0.06357279084551812,0.05773384869098663,2,road_sign
LT Symbol,2,0.06357279084551812,0.04464010428637266,1,landscape_soil
Minnesota black-and-white marker,2,0.06357279084551812,0.05440113693475723,2,Stop and Arrt signs
Railway Crossing,2,0.06357279084551812,0.08793266490101814,2,road_sign
45¡ angle transformers,2,0.06357279084551812,0.17099879495799541,1,45¡ angle transformers
Brittlebush,2,0.06357279084551812,0.04225711710751057,2,vegetation_shrubland_arid
"""Manitoba"" dirt",2,0.06357279084551812,0.15339184179902077,1,landscape_soil
Street sign layout,2,0.06357279084551812,0.1053154431283474,1,hydrant
Tree plantations,2,0.06357279084551812,0.09120758809149265,2,landscape_hills_temperate
Pole Top,2,0.06357279084551812,0.0645298957824707,2,pole_shape
SA stobie pole,2,0.06357279084551812,0.09229506924748421,1,pole_bird
Tree Plantations,2,0.06357279084551812,0.11743707209825516,2,chevron
Give way sign,2,0.06357279084551812,0.15345003828406334,1,road_sign
Volcn Tromen,2,0.06357279084551812,0.3442985638976097,1,Volcn Tromen
QLD black paint,2,0.06357279084551812,0.16667600721120834,1,phone_code
Pole ENOSA,2,0.06357279084551812,0.06071090325713158,2,pole_marker
Coverage Meta - Andaman Vibes,2,0.06357279084551812,0.062276581302285194,2,landscape_hills_tropical
Landscape - Red soil,2,0.06357279084551812,0.09119314327836037,1,landscape_hills_temperate
Roads south of Resistencia,2,0.06357279084551812,0.09778374433517456,2,road_dirt
La Rioja,2,0.06357279084551812,0.14513707533478737,1,vegetation_grassland
RN7,2,0.06357279084551812,0.27973879873752594,1,road_divided
Double Guardrails,2,0.06357279084551812,0.06956766918301582,2,guardrail
Sugarcane plantations,2,0.06357279084551812,0.1649290695786476,1,vegetation_crops
Aragon Bollards,2,0.06357279084551812,0.12476268410682678,1,Aragn Bollards
Catalan Independence Flag,2,0.06357279084551812,0.11625111103057861,2,script_catalan
Santo Domingo street name signs,2,0.06357279084551812,0.09852060675621033,1,landscape_hills_tropical
Volcanoes,2,0.06357279084551812,0.10078577697277069,1,landscape_valley
Musala trekker,2,0.06357279084551812,0.056010520085692406,2,Baden-Wrttemberg
Banana Plants,2,0.06357279084551812,0.12129994481801987,1,vegetation_fruit
Basque Language,2,0.06357279084551812,0.1548035591840744,2,script_basque
South,2,0.06357279084551812,0.05142330378293991,2,car_meta
Agriculture - Sunflower,2,0.06357279084551812,0.0539110628888011,1,vegetation_corn
Language - Bengali,2,0.06357279084551812,0.1296529620885849,1,script_bengali
Buddhism,2,0.06357279084551812,0.0896369032561779,1,buddhism
Western roofs,2,0.06357279084551812,0.12608173489570618,1,building_roof
Coconut Palm Trees,2,0.06357279084551812,0.04392749257385731,2,infrastructure_lamp
Teal roofs,2,0.06357279084551812,0.14289874210953712,1,buddhism
Flat Landscape,2,0.06357279084551812,0.06944404356181622,1,building_facade
Wind Turbines,2,0.06357279084551812,0.08757873624563217,2,infrastructure_wind
Street name ending - vej,2,0.06357279084551812,0.13648220896720886,1,script_latin
"Denmark, Norway, Sweden Shared Latin Letters",2,0.06357279084551812,0.1352631412446499,1,script_latin
Follow car,2,0.06357279084551812,0.08309580199420452,2,car_type
Blue plates,2,0.06357279084551812,0.04349842853844166,2,car_meta
Car Meta - Boxy Car,2,0.06357279084551812,0.04628627002239227,1,car_type
Cacti,2,0.06357279084551812,0.09413521736860275,2,vegetation_cacti
Prato Valley,1,0.03178639542275906,0.053182706236839294,1,vegetation_greenhouse
Infrastructure - Windfarms,1,0.03178639542275906,0.05002441629767418,1,landscape_farm
Highway 15,1,0.03178639542275906,0.058272480964660645,1,landscape_savannah
Car meta,1,0.03178639542275906,0.23529395461082458,1,car_meta
Lithuania Unique Latin Letters,1,0.03178639542275906,0.09062586724758148,1,script_latin
Short Tilted,1,0.03178639542275906,0.07917549461126328,1,camera_meta
Tel-Aviv Parking,1,0.03178639542275906,0.07602882385253906,1,phone_code
La Serena Beach Road,1,0.03178639542275906,0.058645110577344894,1,landscape_coastline
Tucked-in Czechia,1,0.03178639542275906,0.07661516219377518,1,script_latin
Beach sheoaks,1,0.03178639542275906,0.04785292595624924,1,vegetation_coastline
San Juan,1,0.03178639542275906,0.14736679196357727,1,vegetation_vineyard
Landscape - Alexander Archipelago Landscape,1,0.03178639542275906,0.054138582199811935,1,landscape_hills_tropical
6-lane Divided Highway in Autumn,1,0.03178639542275906,0.0961015373468399,1,road_divided
Sabah pole,1,0.03178639542275906,0.08896076679229736,1,vegetation_forest_tropical
Pyramid shaped peaks,1,0.03178639542275906,0.12087247520685196,1,statue
N-55 Gen 3,1,0.03178639542275906,0.07305695116519928,1,landscape_soil
Punta del Este,1,0.03178639542275906,0.035849157720804214,1,vegetation_trees
Palm Trees,1,0.03178639542275906,0.05040435120463371,1,landscape_urban
Italy,1,0.03178639542275906,0.04029706120491028,1,phone_code
Coastal and Southern,1,0.03178639542275906,0.1294674575328827,1,vegetation_forest_temperate
Mediterranean climate,1,0.03178639542275906,0.03941579535603523,1,vegetation_vineyard
Via del Mar Coastline,1,0.03178639542275906,0.05199173837900162,1,Via del Mar Coastline
Infrastructure - Wind Turbine,1,0.03178639542275906,0.11346974968910217,1,infrastructure_wind
Zeester,1,0.03178639542275906,0.08651135861873627,1,bollard_shape
Puno Juliaca,1,0.03178639542275906,0.040871791541576385,1,landscape_desert
"Ruta 9, South section",1,0.03178639542275906,0.3910951614379883,1,road_paved
"Cobbled Road, Through Cliza",1,0.03178639542275906,0.05330206826329231,1,road_cobbled
"Ruta 31, Oruro To Panduro",1,0.03178639542275906,0.050150152295827866,1,landscape_desert
Volcn Diamante,1,0.03178639542275906,0.12498337030410767,1,Volcn Diamante
City,1,0.03178639542275906,0.09861063957214355,1,landscape_desert
E40 Salinas-Guayaquil,1,0.03178639542275906,0.09524115920066833,1,infrastructure_road
Light coloured rock walls,1,0.03178639542275906,0.04512004554271698,1,Carnaba palms
Santiago de los Caballeros street signs,1,0.03178639542275906,0.04819895327091217,1,building_facade
Language - Oriya,1,0.03178639542275906,0.08494701981544495,1,pole_shape
Jute,1,0.03178639542275906,0.07726648449897766,1,vegetation_tea
Lined oak trees,1,0.03178639542275906,0.038554221391677856,1,vegetation_trees
European architecture,1,0.03178639542275906,0.05262050777673721,1,building_facade
Flat-Arm-on-Inside Germany,1,0.03178639542275906,0.07010508328676224,1,tram
Romania Unique Latin Letters,1,0.03178639542275906,0.1028648391366005,1,script_cyrillic
Romania,1,0.03178639542275906,0.04918641969561577,1,road_sign
Dagestan landscape,1,0.03178639542275906,0.04869807884097099,1,script_cyrillic
Po_ega valley,1,0.03178639542275906,0.07900698482990265,1,Po_ega valley
Rhineland-Palatinate Orange Bollards,1,0.03178639542275906,0.06392350792884827,1,Baden-Wrttemberg
Southland Pole Guard ,1,0.03178639542275906,0.06913924217224121,1,pole_shape
Manitoba license plates,1,0.03178639542275906,0.041263796389102936,1,landscape_hills_temperate
Quebec guardrail bollards,1,0.03178639542275906,0.11061573773622513,1,Qubec bollards
Qubec bollards,1,0.03178639542275906,0.0930846780538559,1,Qubec bollards
Saskatoon Transit,1,0.03178639542275906,0.09184358268976212,1,traffic_light
Alberta bollards,1,0.03178639542275906,0.05675489827990532,1,vegetation_forest_temperate
Tasmania pole metas,1,0.03178639542275906,0.09412933886051178,1,Chilo Island
Tightly Packed Wooden Fences,1,0.03178639542275906,0.06700406968593597,1,landscape_hills_temperate
Eucalyptus Trees,1,0.03178639542275906,0.056322015821933746,1,vegetation_forest
66 Warumungu-Camooweal,1,0.03178639542275906,0.19997937977313995,1,car_meta
Bilingual Signs,1,0.03178639542275906,0.08066245168447495,1,script_european
Macaw palms,1,0.03178639542275906,0.08186329901218414,1,Aai Palms
Agriculture - Sugarcane,1,0.03178639542275906,0.0815543532371521,1,vegetation_crops
Double concrete pole,1,0.03178639542275906,0.027819672599434853,1,pole_shape
"Flat, barren landscape",1,0.03178639542275906,0.09801047295331955,1,car_meta
The Rocky Mountains,1,0.03178639542275906,0.10772845894098282,1,landscape_mountains
Bird Pole,1,0.03178639542275906,0.04463570564985275,1,landscape_soil_arid
NSW yellow plates.,1,0.03178639542275906,0.19142743945121765,1,phone_code
RP24 & RP3,1,0.03178639542275906,0.052362874150276184,1,landscape_ridge_arid
Aragn Bollards,1,0.03178639542275906,0.06873640418052673,1,Aragn Bollards
Sea of Plastic,1,0.03178639542275906,0.057929836213588715,1,vegetation_greenhouse
"Ruta 25, Morochata",1,0.03178639542275906,0.06231080740690231,1,landscape_hills
Tuscany - Landscape,1,0.03178639542275906,0.055220261216163635,1,Park Prirode _umberak
Huanuco 12A,1,0.03178639542275906,0.08752814680337906,1,landscape_fog
Landscape - Red Soil,1,0.03178639542275906,0.03335218504071236,1,landscape_hills_temperate
Puyehue National Park,1,0.03178639542275906,0.04416181147098541,1,road_dirt_tropical
Coffee beans,1,0.03178639542275906,0.1188947930932045,1,vegetation_crops
Vegetation - Khasi Pines,1,0.03178639542275906,0.07725474238395691,1,vegetation_forest_temperate
Sal forests,1,0.03178639542275906,0.11737283319234848,1,vegetation_forest_temperate
Sylhet brick,1,0.03178639542275906,0.06831959635019302,1,building_roof
Vegetation - Chir Pines,1,0.03178639542275906,0.18685895204544067,1,vegetation_forest
Sandy Soil,1,0.03178639542275906,0.0926792249083519,1,vegetation_shrubland
Carnaba palms,1,0.03178639542275906,0.06994062662124634,1,Carnaba palms
Architecture - Triangle Metal Roofs,1,0.03178639542275906,0.04351678863167763,1,vegetation_forest_temperate
Landscape - Assam - North Mountains,1,0.03178639542275906,0.06038539856672287,1,landscape_mountains
Rio Grande do Sul pavement,1,0.03178639542275906,0.06678755581378937,1,road_paved
Piura East Dry Hills,1,0.03178639542275906,0.04311512038111687,1,landscape_hills_arid
"Ruta 5, Chaco, Sunset Coverage",1,0.03178639542275906,0.19617751240730286,1,vegetation_cacti
Puno Lake Titicaca,1,0.03178639542275906,0.03764965757727623,1,landscape_hills
Landscape - Western Rajasthan Landscape,1,0.03178639542275906,0.09840081632137299,1,landscape_desert
4 Stripes + Hat Bulgaria,1,0.03178639542275906,0.08915619552135468,1,people_seastars
Greek lamps,1,0.03178639542275906,0.08356697112321854,1,pole_shape
N-31 Mountain Pass,1,0.03178639542275906,0.19123104214668274,1,landscape_mountains_temperate
Ontario pole tops,1,0.03178639542275906,0.10997690260410309,1,45¡ angle transformers
Logo streetsign,1,0.03178639542275906,0.0863804891705513,1,road_sign
Yellow traffic light,1,0.03178639542275906,0.09626586735248566,1,traffic_light
Quebec double sign post,1,0.03178639542275906,0.08027835935354233,1,guardrail
Common design hydrant,1,0.03178639542275906,0.09551234543323517,1,bin
Junin Huancayo,1,0.03178639542275906,0.0772395133972168,1,script_south_american
Ruta 12 & Unnamed Roads Around Sabaya & Chipaya,1,0.03178639542275906,0.2097524106502533,1,landscape_desert
Pole ICASAC and HHSAC,1,0.03178639542275906,0.05254003405570984,1,landscape_sky
Omsk landscape,1,0.03178639542275906,0.06350786983966827,1,landscape_fields
Qubec traffic cones,1,0.03178639542275906,0.05182546749711037,1,Qubec traffic cones
Stop and Arrt signs,1,0.03178639542275906,0.05112976208329201,1,Stop and Arrt signs
Green bus stop,1,0.03178639542275906,0.09908538311719894,1,sign_information
Alaska license plates,1,0.03178639542275906,0.032813623547554016,1,Chaitn Area
South Fields,1,0.03178639542275906,0.07033422589302063,1,vegetation_forest_temperate
Alberta bollard,1,0.03178639542275906,0.11630579829216003,1,bollard_design
Black lamps,1,0.03178639542275906,0.13619865477085114,1,traffic_light
Black middle street light,1,0.03178639542275906,0.14577734470367432,1,infrastructure_lamp
Ontario speed signs,1,0.03178639542275906,0.08994527161121368,1,road_sign
Wooden street sign,1,0.03178639542275906,0.07322058081626892,1,road_sign
Square guardrail,1,0.03178639542275906,0.03803616017103195,1,vegetation_forest_temperate
Poorly-tracked dirt roads,1,0.03178639542275906,0.05389607697725296,1,road_dirt
Sunflowers,1,0.03178639542275906,0.06841694563627243,1,vegetation_vineyard
Peru South Desert,1,0.03178639542275906,0.040730688720941544,1,bollard_design
Brod Posavina hills,1,0.03178639542275906,0.047515835613012314,1,Po_ega valley
North white aspen trees,1,0.03178639542275906,0.14395137131214142,1,traffic_light
Ontario guard rails,1,0.03178639542275906,0.06119084730744362,1,Qubec traffic cones
Ontario wooden guardrail posts,1,0.03178639542275906,0.05497308820486069,1,guardrail
Number street sign,1,0.03178639542275906,0.058539699763059616,1,road_sign
Vegetation - Areca Palm,1,0.03178639542275906,0.052698563784360886,1,vegetation_trees
Halifax Transit,1,0.03178639542275906,0.06953678280115128,1,Qubec traffic cones
Minnesota bridge signs,1,0.03178639542275906,0.04313010349869728,1,road_sign
Far North,1,0.03178639542275906,0.14861266314983368,1,landscape_arctic
Futaleuf National Reserve,1,0.03178639542275906,0.08130431175231934,1,vegetation_forest_temperate
Concrete barriers,1,0.03178639542275906,0.12283363938331604,1,landscape_mountains
Nebraska Sandhills,1,0.03178639542275906,0.10465890169143677,1,landscape_hills_temperate
Quebec rectangle markers,1,0.03178639542275906,0.07606372237205505,1,Qubec bollards
Tall dense trees,1,0.03178639542275906,0.18223117291927338,1,vegetation_forest_temperate
Hilliness,1,0.03178639542275906,0.07658805698156357,1,landscape_soil
Green and white striped sticker,1,0.03178639542275906,0.11897262185811996,1,sticker
Secondary crossbeam,1,0.03178639542275906,0.0980055034160614,1,45¡ angle transformers
Unique City,1,0.03178639542275906,0.037037596106529236,1,building_facade
Orange snow pole,1,0.03178639542275906,0.05603168159723282,1,Stop and Arrt signs
Asymmetrical road lanes and bollards,1,0.03178639542275906,0.13116873800754547,1,road_divided
RN38,1,0.03178639542275906,0.09304039925336838,1,landscape_ridge_arid
Pampas Region,1,0.03178639542275906,0.09434685111045837,1,"Crdoba, Buenos Aires and Santiago del Estero."
RN237,1,0.03178639542275906,0.4654017686843872,1,car_meta
Vermont license plates,1,0.03178639542275906,0.0330265611410141,1,landscape_mountains_temperate
Munich Trams/busses,1,0.03178639542275906,0.11843843758106232,1,tram
Traditional architecture,1,0.03178639542275906,0.09909191727638245,1,building_roof
Kansai transformers,1,0.03178639542275906,0.04291312396526337,1,infrastructure_industrial
Eastern Hills,1,0.03178639542275906,0.05979030206799507,1,landscape_soil
"Ruta 7 & Unnamed Road, Totora To Tiraque",1,0.03178639542275906,0.09266461431980133,1,landscape_hills_arid
"Ruta 12, Ancaravi To Hauchacella",1,0.03178639542275906,0.4770658612251282,1,landscape_hills_arid
Cusco East Landscape,1,0.03178639542275906,0.06667569279670715,1,landscape_hills
"Ruta 4, SW of Patacamaya, Grainy Road",1,0.03178639542275906,0.347475528717041,1,landscape_grassland
"Ruta 6, Sucre To Macha",1,0.03178639542275906,0.12912079691886902,1,landscape_plateau_arid
Infrastructure - Crossbar with no support,1,0.03178639542275906,0.07227896898984909,1,Carnaba palms
Paran pole markings,1,0.03178639542275906,0.10639413446187973,1,Paran pole markings
Acre red brick road,1,0.03178639542275906,0.049609024077653885,1,road_cobbled
Blue water tanks,1,0.03178639542275906,0.12511800229549408,1,Cear lamps
Ceara pole top,1,0.03178639542275906,0.08077068626880646,1,Cear lamps
Babassu Palms,1,0.03178639542275906,0.08091884106397629,1,Maranho wide insulators
"City Roads, Potosi",1,0.03178639542275906,0.08490853011608124,1,landscape_plateau_arid
Carnauba Palms,1,0.03178639542275906,0.18421567976474762,1,Carnaba palms
Short antenna with tape,1,0.03178639542275906,0.07468075305223465,1,camera_meta
Hanging Jacket Slovakia,1,0.03178639542275906,0.07995067536830902,1,script_latin
Concrete roads,1,0.03178639542275906,0.05302327498793602,1,landscape_hills_tropical
Loreto South Iquitos Pavement,1,0.03178639542275906,0.052669309079647064,1,landscape_hills_tropical
"Ruta 1, Challapata To Guindal",1,0.03178639542275906,0.025892842561006546,1,camera_meta
Krk island landscape,1,0.03178639542275906,0.06243499368429184,1,Chilo Island
White flower,1,0.03178639542275906,0.051581598818302155,1,vegetation_floral
Long Black CB-Type,1,0.03178639542275906,0.04090369865298271,1,vegetation_forest_temperate
Hungarian Language,1,0.03178639542275906,0.03370986506342888,1,camera_meta
Bucharest Street Sign,1,0.03178639542275906,0.029384460300207138,1,statue
February | No Car (No Antenna),1,0.03178639542275906,0.03226180747151375,1,script_cyrillic
Highway Signs,1,0.03178639542275906,0.12685805559158325,1,chevron
Greek harp pole,1,0.03178639542275906,0.030753333121538162,1,statue
Zagreb,1,0.03178639542275906,0.08010952174663544,1,tram
Nessebar/Sozopol,1,0.03178639542275906,0.08844035118818283,1,statue
Medvednica,1,0.03178639542275906,0.10331844538450241,1,Park Prirode _umberak
holey pole,1,0.03178639542275906,0.05174371227622032,1,pole_shape
RP46,1,0.03178639542275906,0.03971733897924423,1,landscape_mountains_arid
Moquegua 108,1,0.03178639542275906,0.14224056899547577,1,landscape_valley_arid
Moquegua Bollard,1,0.03178639542275906,0.05589936301112175,1,bollard_design
Cloudy mountains,1,0.03178639542275906,0.045495741069316864,1,landscape_mountains_temperate
Ruta 41 Gen 4,1,0.03178639542275906,0.19974982738494873,1,landscape_alpine
Flat with lush green mountains and hills,1,0.03178639542275906,0.06012290343642235,1,landscape_mountains_temperate
RN86,1,0.03178639542275906,0.11838484555482864,1,road_dirt
Hualpn Peninsula Gen 4,1,0.03178639542275906,0.026760349050164223,1,landscape_valley
Ruta 11 in the Mountains,1,0.03178639542275906,0.12442032992839813,1,landscape_valley_arid
Rutas 201/203,1,0.03178639542275906,0.313629686832428,1,landscape_lake_wet
Car with 4 Stripes and a White Sticker in the Desert,1,0.03178639542275906,0.040724508464336395,1,landscape_mountains_arid
Ancash/LaLibertad Border Road,1,0.03178639542275906,0.14955268800258636,1,landscape_mountains
Ruta 11 River Valley,1,0.03178639542275906,0.1387823224067688,1,landscape_valley_arid
Vertical Black Sticker - 5 digits,1,0.03178639542275906,0.06942639499902725,1,Chilo Island
Vegetation - Dead Trees,1,0.03178639542275906,0.07111956924200058,1,landscape_plateau_arid
Pole marking,1,0.03178639542275906,0.08401878923177719,1,road_marker
Isolated rock formations,1,0.03178639542275906,0.09132716804742813,1,landscape_rock
Pickup truck,1,0.03178639542275906,0.057161714881658554,1,landscape_desert
Ruta 115,1,0.03178639542275906,0.036764271557331085,1,landscape_valley_temperate
Huancavelica Gen 4,1,0.03178639542275906,0.03456100448966026,1,landscape_mountains_tropical
Octagonal pole,1,0.03178639542275906,0.03278149291872978,1,car_meta
Lago Salinas Grande,1,0.03178639542275906,0.11253231763839722,1,vegetation_cacti
Cusco 30C and Puno 34B,1,0.03178639542275906,0.06432186812162399,1,landscape_hills_tropical
Red Bricks,1,0.03178639542275906,0.05321291834115982,1,building_facade
Bremen Trashbin,1,0.03178639542275906,0.07925688475370407,1,script_latin
Ladder Poles,1,0.03178639542275906,0.07880016416311264,1,pole_shape
Generation 2,1,0.03178639542275906,0.051933128386735916,1,camera_meta
Catamarca,1,0.03178639542275906,0.09820008277893066,1,vegetation_grassland
Sign Posts,1,0.03178639542275906,0.043862465769052505,1,post_sign
Amazonas Mountains,1,0.03178639542275906,0.13943447172641754,1,landscape_mountains_tropical
Semuliki - Water Drops,1,0.03178639542275906,0.03090609423816204,1,landscape_soil
Wooden Shingle Facade,1,0.03178639542275906,0.08395890146493912,1,building_facade
Hungary Unique Latin Letters,1,0.03178639542275906,0.0570899061858654,1,script_european
West Coast,1,0.03178639542275906,0.08813025057315826,1,vegetation_forest_temperate
Red numbers,1,0.03178639542275906,0.0430653840303421,1,script_latin
Saxony-Anhalt Yellow Posts,1,0.03178639542275906,0.07142767310142517,1,bollard_design
Landscape - Mechuka Valley,1,0.03178639542275906,0.036476314067840576,1,landscape_mountains_temperate
Okinawa plates,1,0.03178639542275906,0.04300573468208313,1,landscape_island
Silver Tag w/ Vertical Numbers,1,0.03178639542275906,0.058576881885528564,1,San Jos White Tag
Landscape - Mizoram Hills,1,0.03178639542275906,0.046844303607940674,1,landscape_mountains_tropical
Political Logos Ayacucho,1,0.03178639542275906,0.07432364672422409,1,sign_information
Mesh body pole,1,0.03178639542275906,0.12007210403680801,1,pole_shape
Yellow Plates,1,0.03178639542275906,0.08428747951984406,1,road_coastal
Landscape - Menderes Massif,1,0.03178639542275906,0.1765003800392151,1,vegetation_greenhouse
One sided pole top,1,0.03178639542275906,0.04627835005521774,1,buddhism
Lake District,1,0.03178639542275906,0.06436685472726822,1,landscape_hills_temperate
Town Entry Signs,1,0.03178639542275906,0.046618878841400146,1,road_sign
Tolbo Lake,1,0.03178639542275906,0.037049341946840286,1,camera_meta
Boomerang lamp,1,0.03178639542275906,0.10329007357358932,1,car_type
Gen 3 Cars,1,0.03178639542275906,0.0430556945502758,1,car_meta
RN34,1,0.03178639542275906,0.06936526298522949,1,road_paved
Tumbes Gen 3 Road,1,0.03178639542275906,0.1983528882265091,1,landscape_hills_arid
Huanuco 2024 Coverage,1,0.03178639542275906,0.06038970872759819,1,landscape_mountains_tropical
Black back of signs.,1,0.03178639542275906,0.125718891620636,1,Aai Palms
Huanta Landscape,1,0.03178639542275906,0.04729514941573143,1,vegetation_cacti
Sierra de La Ventana,1,0.03178639542275906,0.053273070603609085,1,landscape_hills_arid
Needle Grass,1,0.03178639542275906,0.15537336468696594,1,vegetation_grassland_temperate
RN40,1,0.03178639542275906,0.11658881604671478,1,landscape_mountains_arid
Sajama National Park Road,1,0.03178639542275906,0.04767148569226265,1,landscape_desert
Red white sign post,1,0.03178639542275906,0.09002953767776489,1,post_sign
Pole Pucallpa Sticker,1,0.03178639542275906,0.09651892632246017,1,pole_marker
Semuliki - Muddy Forest Paths,1,0.03178639542275906,0.14624769985675812,1,road_dirt_tropical
Rounded electric counter,1,0.03178639542275906,0.1443098783493042,1,infrastructure_industrial
A-31 Lush Mountains,1,0.03178639542275906,0.03668379411101341,1,guardrail
No hunting sign,1,0.03178639542275906,0.11887018382549286,1,bollard_design
Slate Roofs,1,0.03178639542275906,0.0432647205889225,1,Chilo Island
Word for street - RUE,1,0.03178639542275906,0.10343050956726074,1,script_latin
Slovenian Bilingual Signs,1,0.03178639542275906,0.04618646949529648,1,chevron
La Rioja Vineyards,1,0.03178639542275906,0.03625090420246124,1,Castilla y Len
French Pole Tops,1,0.03178639542275906,0.04054880887269974,1,vegetation_greenhouse
Rijeka mountains,1,0.03178639542275906,0.04237211123108864,1,landscape_ridge
Villarrica National Park,1,0.03178639542275906,0.04109002649784088,1,landscape_mountains_temperate
Flat with a mountain ridge,1,0.03178639542275906,0.04446154087781906,1,landscape_flatland_temperate
Direction Signs,1,0.03178639542275906,0.03719305619597435,1,script_latin
Blue traffic lights,1,0.03178639542275906,0.11762692034244537,1,phone_code
